ranking_posicao,musica,tag_musica,tag_trecho,ESTROFE,artista,ano,ntokens,url,Topic,Probability
256,A Carta,musica256,musica256_trecho2,Está fazendo algum tempo Que uma coisa aqui por dentro Despertou e é tão forte Que eu não pude te contar,Eduardo Costa,2008,21,https://www.letras.mus.br/eduardo-costa/1303708/,-1,0.0853085744238653
256,A Carta,musica256,musica256_trecho5,"Como eu poderia dar a ela esta carta? Como eu vou deixar pra sempre aquela casa Se eu já sou feliz, se eu já tenho amor Se eu já vivo em paz?",Eduardo Costa,2008,32,https://www.letras.mus.br/eduardo-costa/1303708/,-1,0.6848464709968787
256,A Carta,musica256,musica256_trecho9,E com as lágrimas as palavras vinham E rolavam como pedras E ela só a me escutar,Eduardo Costa,2008,17,https://www.letras.mus.br/eduardo-costa/1303708/,-1,0.08257084015806604
256,A Carta,musica256,musica256_trecho11,"Como eu poderia dar a ela essa carta? Como eu vou deixar pra sempre aquela casa Se eu já sou feliz, se eu já tenho amor Se eu já vivo em paz?",Eduardo Costa,2008,32,https://www.letras.mus.br/eduardo-costa/1303708/,-1,0.6848464709968787
1254,A Casa Caiu,musica1254,musica1254_trecho1,Eu tenho mais o que fazer Será que você me entende? Quero um amor decente Nossa paixão desmoronou e só você não viu Sua casa caiu,Fernando e Sorocaba,2009,26,https://www.letras.mus.br/fernando-sorocaba/1603280/,-1,0.027649156434276678
1254,A Casa Caiu,musica1254,musica1254_trecho2,"Tô grilado, encanado Por que armou isso comigo? Tô pirado, revoltado Não vou ser mais seu ombro amigo",Fernando e Sorocaba,2009,18,https://www.letras.mus.br/fernando-sorocaba/1603280/,-1,0.1205382268583991
1377,A Culpa É Dele (part. Maiara & Maraisa),musica1377,musica1377_trecho3,"O cara que eu tava deu em cima de você, foi? E aí você ficou com ele, mas foi uma vez, ok Do que cê tá com medo? De estragar a amizade? Nem fica preocupada, a gente resolve mais tarde",Marília Mendonça,2018,40,https://www.letras.mus.br/marilia-mendonca/a-culpa-dele-part-maiara-e-maraisa/,-1,0.027330021791035497
1377,A Culpa É Dele (part. Maiara & Maraisa),musica1377,musica1377_trecho4,"Se quem tava comigo era ele, a culpa é dele Quem fez essa bagunça na nossa amizade é ele Eu não vou deixar de ser sua amiga por causa de um qualquer Que não respeita uma mulher",Marília Mendonça,2018,37,https://www.letras.mus.br/marilia-mendonca/a-culpa-dele-part-maiara-e-maraisa/,-1,0.6848464709968788
1377,A Culpa É Dele (part. Maiara & Maraisa),musica1377,musica1377_trecho6,"O cara que eu tava deu em cima de você, foi? Aí você ficou com ele, mas foi só uma vez Do que cê tá com medo? De estragar a amizade? Nem fica preocupada, a gente resolve mais tarde",Marília Mendonça,2018,39,https://www.letras.mus.br/marilia-mendonca/a-culpa-dele-part-maiara-e-maraisa/,-1,0.02733002179103583
1377,A Culpa É Dele (part. Maiara & Maraisa),musica1377,musica1377_trecho9,Eu não vou deixar de ser sua amiga por causa de um qualquer Que não respeita uma mulher,Marília Mendonça,2018,18,https://www.letras.mus.br/marilia-mendonca/a-culpa-dele-part-maiara-e-maraisa/,-1,0.14966053185968242
