ranking_posicao,musica,tag_musica,tag_trecho,ESTROFE,artista,ano,ntokens,url,topic
1274,"Oh, Mamãe",musica1274,musica1274_trecho4,"Oh, mamãe, fica de boa que seu filho vai chegar E se por acaso o meu velho perguntar Fala que tá tudo sossegado e já cheguei",Thiago Brava,2013,26,https://www.letras.mus.br/thiago-brava/oh-mamae/,-1
837,Oi,musica837,musica837_trecho4,E toda vez que você me disser oi Eu vou responder só oi Com o meu peito gritando: Te amo (te amo) Toda vez que você me disser oi Eu vou responder só oi Com o meu peito gritando: Te amo,Léo Magalhães,2017,41,https://www.letras.mus.br/leo-magalhaes/oi/,-1
837,Oi,musica837,musica837_trecho7,E toda vez que você me disser oi Eu vou responder só oi Com o meu peito gritando: Te amo (te amo) E toda vez que você me disser oi Eu vou responder só oi Com o meu peito gritando: Te amo,Léo Magalhães,2017,42,https://www.letras.mus.br/leo-magalhaes/oi/,-1
86,Oi Balde,musica86,musica86_trecho3,"Oi, balde Desculpa a cara de pau, mas deu saudade Eu te chutei quando a raiva tava no auge Eu fui um trouxa, a gente sabe Que nunca foi falta de amor, foi só falta de maturidade",Zé Neto e Cristiano,2023,37,https://www.letras.mus.br/ze-neto-cristiano/oi-balde/,-1
86,Oi Balde,musica86,musica86_trecho4,"Oi, balde Desculpa a cara de pau, mas deu saudade Eu te chutei quando a raiva tava no auge Eu fui um trouxa, a gente sabe Que nunca foi falta de amor, foi só falta de maturidade Fala que pra te buscar ainda não é tarde",Zé Neto e Cristiano,2023,46,https://www.letras.mus.br/ze-neto-cristiano/oi-balde/,-1
733,Oi Deus,musica733,musica733_trecho4,Ela me largou E eu não sei rezar Mas prometo tudo se ela voltar,Hugo & Guilherme,2022,14,https://www.letras.mus.br/hugo-guilherme/oi-deus/,-1
1467,Oitava Dose,musica1467,musica1467_trecho3,"Esperando a saudade sair do meu peito Ou alguém vir puxar a cadeira pra me consolar Mas tá demorando Eu já tô na sétima dose, pedindo a oitava sem gelo Pra ver se arranco um terço de você de mim",Matheus & Kauan,2017,40,https://www.letras.mus.br/matheus-kauan/oitava-dose/,-1
1467,Oitava Dose,musica1467,musica1467_trecho4,"E a parte de você que sobrar vai me acompanhar Eu vou deixando um pouco em cada mesa que eu sentar Cada dose que eu tomar, cada boca que eu beijar Pode demorar, mas",Matheus & Kauan,2017,34,https://www.letras.mus.br/matheus-kauan/oitava-dose/,-1
1467,Oitava Dose,musica1467,musica1467_trecho5,"E a parte de você que sobrar vai me acompanhar Eu vou deixando um pouco em cada mesa que eu sentar Cada dose que eu tomar, cada boca que eu beijar Pode demorar, mas ainda deixo de te amar",Matheus & Kauan,2017,39,https://www.letras.mus.br/matheus-kauan/oitava-dose/,-1
107,Olha Onde Eu Tô,musica107,musica107_trecho3,"Ele falou que se eu botasse o meu chapéu, acabou Ele queria fazer eu mudar lá do interior Ele falou pra eu escolher entre o rodeio e o amor Olha onde eu tô, olha onde eu tô Ele falou que se eu botasse o meu chapéu, acabou Ele queria fazer eu mudar lá do interior Ele falou pra eu escolher entre o rodeio e o amor Olha onde eu tô, olha onde eu tô",Ana Castela,2025,74,https://www.letras.mus.br/ana-castela/olha-onde-eu-to/,-1
1514,Olhares Sinceros,musica1514,musica1514_trecho1,"E deixa a tristeza de lado Dê um abraço apertado na primeira pessoa Celebre o amor com quem tá do seu lado Faça o bem sem olhar a quem Simplesmente faça o bem, faça o bem, faça o bem",Jorge & Mateus,2018,39,https://www.letras.mus.br/jorge-mateus/amores-sinceros/,-1
195,Onde Anda Meu Amor,musica195,musica195_trecho1,"Onde anda, meu amor? Diga, por favor O que está fazendo agora Será que nunca me amou Também se enganou Está sozinha, agora chora",Léo Magalhães,2012,24,https://www.letras.mus.br/leo-magalhaes/onde-anda-meu-amor/,-1
195,Onde Anda Meu Amor,musica195,musica195_trecho3,"Volta, meu amor Vem completar nossa cama Volta, meu amor, meu amor Meu coração por ti chama Volta, meu amor Vem me adoçar com seus beijos Volta, meu amor, meu amor Se também for seu desejo",Léo Magalhães,2012,36,https://www.letras.mus.br/leo-magalhaes/onde-anda-meu-amor/,-1
969,Onde Haja Sol,musica969,musica969_trecho3,Veja só Eu podia estar ao seu lado Mas não deu Eu não vou ficar aqui parado,Jorge & Mateus,2009,17,https://www.letras.mus.br/jorge-mateus/1423226/,-1
