ranking_posicao,musica,tag_musica,tag_trecho,ESTROFE,artista,ano,ntokens,url,topic
274,Me Leva Pra Casa,musica274,musica274_trecho1,"Cansei de ficar sozinho Na rua, não tem carinho Uou uou, me leva pra casa",Zezé Di Camargo,2022,15,https://www.letras.mus.br/zeze-di-camargo/me-leva-pra-casa-part-luciano/,-1
274,Me Leva Pra Casa,musica274,musica274_trecho2,"No amor, sempre fui bandido E agora que estou perdido Uou uou, me leva pra casa",Zezé Di Camargo,2022,16,https://www.letras.mus.br/zeze-di-camargo/me-leva-pra-casa-part-luciano/,-1
274,Me Leva Pra Casa,musica274,musica274_trecho5,"Hoje eu sei que achei Quem eu tanto procurava Meu amor, é você Uou uou, me leva pra casa",Zezé Di Camargo,2022,19,https://www.letras.mus.br/zeze-di-camargo/me-leva-pra-casa-part-luciano/,-1
274,Me Leva Pra Casa,musica274,musica274_trecho9,Me leva pra casa Me leva pra casa Me leva pra casa,Zezé Di Camargo,2022,12,https://www.letras.mus.br/zeze-di-camargo/me-leva-pra-casa-part-luciano/,-1
225,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,musica225,musica225_trecho1,"Cansei de ficar sozinho Na rua não tem carinho Uô-uô, me leva pra casa No amor sempre fui bandido E agora estou perdido Uô-uô, me leva pra casa",Lauana Prado,2023,28,https://www.letras.mus.br/lauana-prado/me-leva-pra-casa-escrito-nas-estrelas-saudade/,-1
225,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,musica225,musica225_trecho4,"Hoje eu sei que achei Quem eu tanto procurava Meu amor é você Uô-uô, me leva pra casa Me leva pra casa",Lauana Prado,2023,22,https://www.letras.mus.br/lauana-prado/me-leva-pra-casa-escrito-nas-estrelas-saudade/,-1
225,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,musica225,musica225_trecho6,"Agora eu sei muito bem Que eu nasci só pra ser Sua parceira, meu bem E só morrer de prazer",Lauana Prado,2023,20,https://www.letras.mus.br/lauana-prado/me-leva-pra-casa-escrito-nas-estrelas-saudade/,-1
225,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,musica225,musica225_trecho7,"Caso do acaso bem marcado em cartas de tarô Ô, ô Meu amor, esse amor de cartas claras sobre a mesa É assim Signo do destino, que surpresa ele nos preparou Ô, ô Meu amor, esse amor estava escrito nas estrelas Tava, sim",Lauana Prado,2023,43,https://www.letras.mus.br/lauana-prado/me-leva-pra-casa-escrito-nas-estrelas-saudade/,-1
225,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,musica225,musica225_trecho8,Você sempre fez dos meus sonhos Sempre soube dos meus segredos Isso já faz muito tempo Eu nem me lembro quanto tempo faz,Lauana Prado,2023,23,https://www.letras.mus.br/lauana-prado/me-leva-pra-casa-escrito-nas-estrelas-saudade/,-1
225,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,musica225,musica225_trecho10,Talvez eu seja no seu passado mais uma página Que foi do seu diário arrancada,Lauana Prado,2023,15,https://www.letras.mus.br/lauana-prado/me-leva-pra-casa-escrito-nas-estrelas-saudade/,-1
225,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,musica225,musica225_trecho11,"Sonho, choro e sinto Que resta alguma esperança Saudade, quero arrancar essa página Da minha vida Da minha vida Da minha vida",Lauana Prado,2023,22,https://www.letras.mus.br/lauana-prado/me-leva-pra-casa-escrito-nas-estrelas-saudade/,-1
476,Média Boa,musica476,musica476_trecho3,"Nem bonito demais pra te dar trabalho Nem feio demais pra te passar vergonha Eu tô na média, tô numa média boa Nem rico demais pra andar de iate Nem liso demais pra remar de canoa Eu tô na média, tô numa média boa",Felipe e Rodrigo,2023,44,https://www.letras.mus.br/felipe-e-rodrigo/media-boa/,-1
476,Média Boa,musica476,musica476_trecho4,"Nem bonito demais pra te dar trabalho Nem feio Eu tô na média, tô numa média boa Nem rico demais pra andar de iate Nem liso demais pra remar de canoa Eu tô na média, tô numa média boa",Felipe e Rodrigo,2023,39,https://www.letras.mus.br/felipe-e-rodrigo/media-boa/,-1
476,Média Boa,musica476,musica476_trecho5,"Não é me achando, mas nota 7 Passa tranquilo de ano",Felipe e Rodrigo,2023,11,https://www.letras.mus.br/felipe-e-rodrigo/media-boa/,-1
476,Média Boa,musica476,musica476_trecho9,"Não é me achando, mas nota 7 Passa tranquilo de ano Mas nota 7 passa tranquilo de ano",Felipe e Rodrigo,2023,18,https://www.letras.mus.br/felipe-e-rodrigo/media-boa/,-1
22,Medo Bobo,musica22,musica22_trecho1,"Ah, esse tom de voz eu reconheço Mistura de medo e desejo Tô aplaudindo a sua coragem de me ligar",Maiara & Maraisa,2016,20,https://www.letras.mus.br/maiara-maraisa/medo-bobo/,-1
22,Medo Bobo,musica22,musica22_trecho2,"Eu pensei que só tava alimentando Uma loucura da minha cabeça Mas quando ouvi sua voz, respirei aliviado",Maiara & Maraisa,2016,18,https://www.letras.mus.br/maiara-maraisa/medo-bobo/,-1
446,Meiga Senhorita,musica446,musica446_trecho2,"Aqui é pequeno mas dá pra nós dois E ser for preciso a gente aumenta depois Tenho um violão que é pras noites de Lua Tem uma varanda que é minha e que é sua Vem morar comigo meiga senhorita Vem morar comigo meiga senhorita, vem morar comigo",Zé Ricardo e Thiago,2018,48,https://www.letras.mus.br/ze-ricardo-thiago/meiga-senhorita/,-1
1458,Meio Caminho Andado,musica1458,musica1458_trecho1,Será que cê chegou voando? Mas eu não vi asas em você Me belisca que eu tô sonhando E agora o que é que eu vou fazer?,Enzo Rabelo,2020,27,https://www.letras.mus.br/enzo-rabelo/meio-caminho-andado/,-1
1458,Meio Caminho Andado,musica1458,musica1458_trecho3,"Quem mandou você me olhar? E quem mandou ser linda desse jeito? Quem mandou conhece meu gosto muito bem Chega, não precisa mandar mais ninguém",Enzo Rabelo,2020,25,https://www.letras.mus.br/enzo-rabelo/meio-caminho-andado/,-1
109,MEIO TERMO,musica109,musica109_trecho1,"Vida Teu cheiro ainda tá na minha camisa Toda vez que cê vai, uma parte fica Só pra me assombrar",Luan Santana,2023,20,https://www.letras.mus.br/luan-santana/meio-termo/,-1
109,MEIO TERMO,musica109,musica109_trecho2,"Que por mais que eu queira, você não é minha ainda Se eu der bobeira O que não falta é marmanjo na fila Torcendo pra gente não vingar",Luan Santana,2023,28,https://www.letras.mus.br/luan-santana/meio-termo/,-1
109,MEIO TERMO,musica109,musica109_trecho5,"Ô, vida Teu cheiro ainda tá na minha camisa Toda vez que cê vai, uma parte fica Só pra me assombrar",Luan Santana,2023,21,https://www.letras.mus.br/luan-santana/meio-termo/,-1
1046,Melhor Trair Agora,musica1046,musica1046_trecho1,"Foi com um cheiro E voltou com outro pra casa Me fala por que seu cabelo voltou molhado Se nem chovendo tava Cê tá pedindo calma, tô calma",Marília Tavares,2025,28,https://www.letras.mus.br/marilia-tavares/melhor-trair-agora/,-1
1046,Melhor Trair Agora,musica1046,musica1046_trecho2,Eu espero que tenha valido a pena O seu momento de prazer Porque tudo que cê ganhou lá Vai ter que compensar o que cê vai perder,Marília Tavares,2025,27,https://www.letras.mus.br/marilia-tavares/melhor-trair-agora/,-1
1046,Melhor Trair Agora,musica1046,musica1046_trecho3,Eu tô terminando em paz Com meu coração tranquilo Já pensou se fosse mais pra frente? Já pensou a gente casado e com filho?,Marília Tavares,2025,24,https://www.letras.mus.br/marilia-tavares/melhor-trair-agora/,-1
