ranking_posicao,musica,tag_musica,tag_trecho,ESTROFE,artista,ano,ntokens,url,topic
1188,A Distância,musica1188,musica1188_trecho6,"Eu só queria te dizer que eu Tentei deixar de amar, não consegui Se alguma vez você pensar em mim Não se esqueça de lembrar que eu nunca te esqueci",Zezé Di Camargo & Luciano,2008,30,https://www.letras.mus.br/zeze-di-camargo-e-luciano/1372804/,-1
1256,A Fila Anda,musica1256,musica1256_trecho1,Tá se achando demais Tá pisando sem dó Tá fazendo besteira uma atrás da outra Tá querendo ficar só,Leonardo,2008,19,https://www.letras.mus.br/leonardo/1241598/,-1
1256,A Fila Anda,musica1256,musica1256_trecho2,Tá perdendo a razão Vê se cai na real Porque o ontem já era O amanhã não espera E você pode se dar mal,Leonardo,2008,24,https://www.letras.mus.br/leonardo/1241598/,-1
1252,A Fila Andou,musica1252,musica1252_trecho2,Cansei desse papo de te amar sozinho O meu coração tá pedindo carinho Já virei a página da nossa relação,Maria Cecília e Rodolfo,2008,20,https://www.letras.mus.br/maria-cecilia-rodolfo/1302405/,-1
1252,A Fila Andou,musica1252,musica1252_trecho5,"A fila andou, eu te falei Não deu valor, como eu te amei Agora chora, já me perdeu, boa sorte vai embora",Maria Cecília e Rodolfo,2008,22,https://www.letras.mus.br/maria-cecilia-rodolfo/1302405/,-1
1252,A Fila Andou,musica1252,musica1252_trecho6,"A fila andou, eu te falei Não deu valor, como eu te amei Agora chora, você já me perdeu, tô fora!",Maria Cecília e Rodolfo,2008,21,https://www.letras.mus.br/maria-cecilia-rodolfo/1302405/,-1
630,A Gente Nem Ficou,musica630,musica630_trecho4,"E aí? Quando vem me ver? Tô aqui esperando você E nem dormi, a noite já passou Não consigo mais me dominar Você me enfeitiçou",Jorge & Mateus,2012,25,https://www.letras.mus.br/jorge-mateus/a-gente-nem-ficou/,-1
630,A Gente Nem Ficou,musica630,musica630_trecho9,"E aí, quando vem me ver? Tô aqui esperando você E nem dormi, a noite já passou Não consigo mais me dominar Você me enfeitiçou",Jorge & Mateus,2012,25,https://www.letras.mus.br/jorge-mateus/a-gente-nem-ficou/,-1
71,A Hora É Agora,musica71,musica71_trecho4,Paz e amor É o que eu quero pra nós E que nada nesse mundo cale a nossa voz Céu e mar e alguém para amar E o arrepio toda vez que a gente se encontrar,Jorge & Mateus,2012,36,https://www.letras.mus.br/jorge-mateus/a-hora-e-agora/,-1
1278,A Louca,musica1278,musica1278_trecho4,"E agora vem com papo que estava errada Metendo a boca, toda enciumada Mas eu só fiz o que você mandou",Luan Santana,2009,21,https://www.letras.mus.br/luan-santana/1407540/,-1
184,A Maior Saudade,musica184,musica184_trecho3,"Apesar de não te comover com o meu sofrimento Mesmo que sair da sua vida seja um livramento Apesar de não valer o álcool que eu tô bebendo Mesmo que você ligue o foda-se, cê segue sendo A maior saudade de todos os tempos A maior saudade de todos os tempos",Henrique & Juliano,2021,51,https://www.letras.mus.br/henrique-e-juliano/a-maior-saudade/,-1
1291,A Mala é Falsa (part. Henrique & Juliano),musica1291,musica1291_trecho1,"É, agora tá com tempo pra me escutar Agora diz que ama e que vai mudar Eu sei que a cena é forte, vai doer agora Arrumei minha mala, tô caindo fora",Felipe Araújo,2016,32,https://www.letras.mus.br/felipe-araujo/a-mala-e-falsa-amor/,-1
1291,A Mala é Falsa (part. Henrique & Juliano),musica1291,musica1291_trecho2,"Você não percebeu, mas esfriou Caiu na rotina, você descuidou Eu só queria um pouco de carinho Fica tranquila amor eu tô fingindo",Felipe Araújo,2016,23,https://www.letras.mus.br/felipe-araujo/a-mala-e-falsa-amor/,-1
