ranking_posicao,musica,tag_musica,tag_trecho,ESTROFE,artista,ano,ntokens,url,topic
89,10 Minutos Longe de Você (part. Henrique e Juliano),musica89,musica89_trecho1,Dizem que os olhos são como o espelho Que seu brilho sempre reflete aquilo que seu coração tá cheio Dizem que a boca descreve momentos Com palavras de amor revelando o que trago no meu peito,Victor & Leo,2015,36,https://www.letras.mus.br/victor-leo/10-minutos-longe-de-voce/,-1
89,10 Minutos Longe de Você (part. Henrique e Juliano),musica89,musica89_trecho2,Na minha história com você não é tão diferente E no brilho dos seus olhos Vejo o quanto você sente quando estou ausente,Victor & Leo,2015,23,https://www.letras.mus.br/victor-leo/10-minutos-longe-de-voce/,-1
89,10 Minutos Longe de Você (part. Henrique e Juliano),musica89,musica89_trecho3,"E se você me ouve agora, vai me entender Me falta uma metade, tudo é nada sem você Eu tô chegando pra te ver",Victor & Leo,2015,24,https://www.letras.mus.br/victor-leo/10-minutos-longe-de-voce/,-1
89,10 Minutos Longe de Você (part. Henrique e Juliano),musica89,musica89_trecho4,"Tome um banho de flores, passe o seu perfume Coloque aquela roupa que me traz ciúme Que eu estou chegando pra te amar",Victor & Leo,2015,23,https://www.letras.mus.br/victor-leo/10-minutos-longe-de-voce/,-1
1439,100% Você,musica1439,musica1439_trecho5,"Fique aqui, você não tem motivos pra sumir Nosso amor é lindo",Fernando e Sorocaba,2020,12,https://www.letras.mus.br/fernando-sorocaba/1459131/,-1
1045,11 Vidas,musica1045,musica1045_trecho1,"Me pareço tanto com você Olhando dá pra ver, seu rosto lembra o meu Desde o primeiro aniversário O primeiro passo, sempre pronto pra me defender",Lucas Lucco,2014,26,https://www.letras.mus.br/lucas-lucco/11-vidas/,-1
1045,11 Vidas,musica1045,musica1045_trecho2,Sempre que brigou comigo Pra eu não correr perigo Um herói pronto pra me salvar E com você eu aprendi todas lições Eu enfrentei os meus dragões E só depois me deixou voar,Lucas Lucco,2014,33,https://www.letras.mus.br/lucas-lucco/11-vidas/,-1
1045,11 Vidas,musica1045,musica1045_trecho6,"Pai, foi muito chato crescer Passei a não ter você contando histórias pra eu dormir Mesmo o mundo querendo me derrubar Ao meu lado você sempre está Pra me levantar quando eu cair",Lucas Lucco,2014,33,https://www.letras.mus.br/lucas-lucco/11-vidas/,-1
1045,11 Vidas,musica1045,musica1045_trecho10,Eu só queria se tivesse você Eu só queria se tivesse você,Lucas Lucco,2014,12,https://www.letras.mus.br/lucas-lucco/11-vidas/,-1
1459,126 Cabides,musica1459,musica1459_trecho1,"Contando, são 126 cabides E no guarda-roupa Um grande espaço seu deixado O que faço? Estou eu bem no meu canto Futuro levado meu, roubado",Simone & Simaria,2016,25,https://www.letras.mus.br/simone-simaria-as-coleguinhas/126-cabides/,-1
1459,126 Cabides,musica1459,musica1459_trecho2,"Tô negociando com a solidão Tô tentando convencer Que ela não fique, não, se vá Tô eu negociando com a solidão Só me cobre esse juros No final da outra estação e se vá",Simone & Simaria,2016,34,https://www.letras.mus.br/simone-simaria-as-coleguinhas/126-cabides/,-1
1459,126 Cabides,musica1459,musica1459_trecho3,E eu nem quis te ver de malas prontas Levando o que eu temia Suas roupas e minha alegria E eu nem quis te ver de malas prontas Nós dois não mais existe Só ficaram 126 cabides,Simone & Simaria,2016,37,https://www.letras.mus.br/simone-simaria-as-coleguinhas/126-cabides/,-1
1459,126 Cabides,musica1459,musica1459_trecho4,"Tô eu negociando com a solidão Tô tentando convencer Que ela não fique, não, se vá Tô eu negociando com a solidão Só me cobre esse juros No final da outra estação e se vá",Simone & Simaria,2016,35,https://www.letras.mus.br/simone-simaria-as-coleguinhas/126-cabides/,-1
1459,126 Cabides,musica1459,musica1459_trecho5,E eu nem quis te ver de malas prontas Levando o que eu temia Suas roupas e minha alegria E eu nem quis te ver de malas prontas Nós dois não mais existe,Simone & Simaria,2016,33,https://www.letras.mus.br/simone-simaria-as-coleguinhas/126-cabides/,-1
1430,24 Horas,musica1430,musica1430_trecho1,Hoje acordei Com uma vontade louca de falar De tudo aquilo que não vai voltar Dos sentimentos que passei um dia,Luan Santana,2012,21,https://www.letras.mus.br/luan-santana/24-horas/,-1
1430,24 Horas,musica1430,musica1430_trecho4,"Queria tanto poder te falar Daquele tempo que não vai voltar É tentação, mais que paixão São 24 horas de você no coração",Luan Santana,2012,23,https://www.letras.mus.br/luan-santana/24-horas/,-1
1430,24 Horas,musica1430,musica1430_trecho10,Hoje acordei Com uma vontade louca de falar,Luan Santana,2012,8,https://www.letras.mus.br/luan-santana/24-horas/,-1
865,24 Horas de Amor/ Só Dá Você Na Minha Vida/ Pense Em Mim/ Talismã (pot-pourri),musica865,musica865_trecho3,"E de repente vi, você sair Com a toalha no seu corpo E se agarrar em mim Como nos velhos tempos de amor tão louco Nada mais sei de nós Porque morremos abraçados no desejo Na doação total Perdidos na loucura desses beijos",Ícaro e Gilmar,2020,43,https://www.letras.mus.br/icaro-e-gilmar/24-horas-de-amor-so-da-voce-na-minha-vida-pense-em-mim-talisma-pot-pourri/,-1
865,24 Horas de Amor/ Só Dá Você Na Minha Vida/ Pense Em Mim/ Talismã (pot-pourri),musica865,musica865_trecho6,"Em vez de você ficar pensando nele Em vez de você viver chorando por ele Pense em mim, chore por mim Liga pra mim, não, não liga pra ele Pra ele! Não chore por ele!",Ícaro e Gilmar,2020,35,https://www.letras.mus.br/icaro-e-gilmar/24-horas-de-amor-so-da-voce-na-minha-vida-pense-em-mim-talisma-pot-pourri/,-1
